,Year,Month,Date,PMID,Journal,Author,Title
19,NA,NA,NA,35669554,Cognit Comput,Peter Washington,Training Affective Computer Vision Models by Crowdsourcing Soft-Target Labels.
20,2022,3,18,35664506,Front Artif Intell,Vivek Krishna Pradhan,In Search of Ambiguity: A Three-Stage Workflow Design to Clarify Annotation Guidelines for Crowd Workers.
21,2022,5,12,35657809,PLoS One,Stacey Mason,Understanding factors that promote uptake of HIV self-testing among young people in Nigeria: Framing youth narratives using the PEN-3 cultural model.
22,2022,4,20,35646785,Front Public Health,Miriam Glennie,Engaging Remote Aboriginal Communities in COVID-19 Public Health Messaging via Crowdsourcing.
23,2022,5,9,35624187,Sci Rep,Gaurav Chachra,Detecting damaged buildings using real-time crowdsourced images and transfer learning.
24,2022,4,29,35620007,R Soc Open Sci,Alexander Butyaev,Human-supervised clustering of multidimensional data using crowdsourcing.
25,2022,2,28,35619784,Front Psychol,Raja Irfan Sabir,Restructuring Interlinked With Employer and Corporate Branding Amidst COVID-19: Embodying Crowdsourcing.
26,2022,5,13,35617860,J Environ Manage,Andrea Ghermandi,Geolocated social media data counts as a proxy for recreational visits in natural areas: A meta-analysis.
27,2022,5,3,35617244,PLoS One,Ayelet Ben-Sasson,The feasibility of a crowd-based early developmental milestone tracking application.
28,2022,4,21,35615756,Group Decis Negot,Ana Vukicevic,BargCrEx: A System for Bargaining Based Aggregation of Crowd and Expert Opinions in Crowdsourcing.
29,2022,4,11,35615162,Front Psychol,Wei Xiao,Influence of Crowdsourcing Innovation Community Reference on Creative Territory Behavior.
30,2022,3,15,35612888,JMIR Form Res,Jeanne M Pimenta,Identifying Barriers to Enrollment in Patient Pregnancy Registries: Building Evidence Through Crowdsourcing.
31,2022,5,3,35611607,Clin Obes,Farima Dalaei,General population normative scores for interpreting the BODY-Q.
32,2022,4,3,35600670,Mark Lett,Claire Heeryung Kim,The creative touch: the influence of haptics on creativity.
33,2022,3,1,35600426,Public Adm Rev,Ana Colovic,Crowdsourcing and COVID-19: How Public Administrations Mobilize Crowds to Find Solutions to Problems Posed by the Pandemic.
34,2022,5,3,35587505,PLoS One,Lara García Delgado,Remote analysis of sputum smears for mycobacterium tuberculosis quantification using digital crowdsourcing.
35,NA,NA,NA,35587433,Psychol Trauma,Shannon R Forkus,Online crowdsourcing to study trauma and mental health symptoms in military populations: A case for Amazon's Mechanical Turk (MTurk) platform.
36,2022,3,18,35579553,Gigascience,Mohamed Amgad,NuCLS: A scalable crowdsourcing approach and dataset for nucleus classification and segmentation in breast cancer.
37,2022,4,11,35570926,Front Public Health,Linchuan Yang,"Crowdsourced Data for Physical Activity-Built Environment Research: Applying Strava Data in Chengdu, China."
38,2022,5,3,35567379,Laryngoscope,Eric Y Du,Factors Shifting Preference Toward Telemedicine in the Delivery of Skin Cancer Reconstruction Care.
39,2022,2,10,35561725,Lancet Glob Health,Geoff Boeing,Using open data and open-source software to develop spatial indicators of urban design and transport features for achieving healthy and sustainable cities.
40,2022,5,11,35546559,Clin Exp Dermatol,Patrick O Perche,Patient willingness to receive full-body skin exams based on the sex and/or gender and training level of provider: a survey study.
41,2022,4,13,35545625,Nat Commun,Fabian B Wadsworth,Crowd-sourcing observations of volcanic eruptions during the 2021 Fagradalsfjall and Cumbre Vieja events.
42,2022,4,11,35538078,Sci Data,Myroslava Lesiv,Global forest management data for 2015 at a 100 m resolution.
43,NA,NA,NA,35537794,BMJ Open,Chunyan Li,"Community-engaged mHealth intervention to increase uptake of HIV pre-exposure prophylaxis (PrEP) among gay, bisexual and other men who have sex with men in China: study protocol for a pilot randomised controlled trial."
44,NA,NA,NA,35534542,Nature,Virginia Gewin,Childcare crowdfunding campaigns aim to keep mums on the academic track.
45,NA,NA,NA,35533019,Sex Transm Dis,Xumeng Yan,Facilitators and Barriers of HIV Partner Notification Services Among Men Who Have Sex With Men in China: A Qualitative Analysis Using a Socioecological Framework.
46,NA,NA,NA,35531811,Technol Cult,Tizian Zumthurm,"Collecting Middle-Class Memories? The Pandemic, Technology, and Crowdsourced Archives."
47,NA,NA,NA,35529806,Proc ACM Hum Comput Interact,Rachel Kornfield,Involving Crowdworkers with Lived Experience in Content-Development for Push-Based Digital Mental Health Tools: Lessons Learned from Crowdsourcing Mental Health Messages.
48,2022,4,15,35528365,Comput Intell Neurosci,Tianhong Xiong,A Low-Code Framework for Complex Crowdsourcing Work Based on Process Modeling.
49,2022,4,5,35528273,Pers Ubiquitous Comput,Michael Suguitan,What is it like to be a bot? Variable perspective embodied telepresence for crowdsourcing robot movements.
50,2022,3,7,35527794,Front Artif Intell,Andrea Tocchetti,EXP-Crowd: A Gamified Crowdsourcing Framework for Explainability.
51,NA,NA,NA,35493441,J Patient Exp,Erica Sood,Partnering With Stakeholders to Inform the Co-Design of a Psychosocial Intervention for Prenatally Diagnosed Congenital Heart Disease.
52,2021,12,7,35487229,Lancet Public Health,Philip W S Newall,"Impact of the ""when the fun stops, stop"" gambling message on online gambling behaviour: a randomised, online experimental study."
53,NA,NA,NA,35486555,IEEE Trans Neural Netw Learn Syst,Hongxin Wei,Deep Learning From Multiple Noisy Annotators as A Union.
54,2022,3,31,35486423,JMIR Med Educ,Andrew A White,Video-Based Communication Assessment of Physician Error Disclosure Skills by Crowdsourced Laypeople and Patient Advocates Who Experienced Medical Harm: Reliability Assessment With Generalizability Theory.
55,2022,4,8,35478086,BMC Psychol,Johanne Lundager Axelsen,Mindfulness and music interventions in the workplace: assessment of sustained attention and working memory using a crowdsourcing approach.
56,2022,4,12,35477953,Sci Rep,Abigail Hotaling,Accurate inference of crowdsourcing properties when using efficient allocation strategies.
57,NA,NA,NA,35471911,Proc Natl Acad Sci U S A,Johan O L Andreasson,"Crowdsourced RNA design discovers diverse, reversible, efficient, self-contained molecular switches."
58,NA,NA,NA,35467921,Exp Clin Psychopharmacol,Cecilia L Bergeria,A crowdsourcing survey study on the subjective effects of delta-8-tetrahydrocannabinol relative to delta-9-tetrahydrocannabinol and cannabidiol.
59,2022,4,8,35458885,Sensors (Basel),Antoine Serrurier,"Past and Trends in Cough Sound Acquisition, Automatic Detection and Automatic Classification: A Comparative Review."
60,2022,2,28,35453968,Diagnostics (Basel),Tawsifur Rahman,QUCoughScope: An Intelligent Application to Detect COVID-19 Patients Using Cough and Breath Sounds.
61,NA,NA,NA,35451028,Aesthet Surg J,NA,Correction to: Defining Ideal External Female Genital Anatomy via Crowdsourcing Analysis.
62,NA,NA,NA,35439085,Am J Health Promot,Angela Allen Duck,Potential Influencers of COVID-19 Vaccine Acceptance Among Adults Living in the United States Who Have Accepted or Plan to Accept the Vaccine: An Online Survey.
63,2022,4,9,35429539,J Affect Disord,H N Cheung,"Measurement invariance of the Multidimensional Depression Assessment Scale (MDAS) across gender and ethnic groups of Asian, Caucasian, Black, and Hispanic."
64,2022,4,1,35408382,Sensors (Basel),Mingjian Chen,Development and Performance Evaluation of a Low-Cost Portable PM2.5 Monitor for Mobile Deployment.
65,2022,4,5,35405304,Behav Processes,Christopher A Podlesnik,A quantitative analysis of the effects of alternative reinforcement rate and magnitude on resurgence.
66,2022,4,6,35403367,Res Synth Methods,Anna Noel-Storr,Crowdsourcing the identification of studies for COVID-19-related Cochrane Rapid Reviews.
67,2022,2,21,35402900,Front Artif Intell,Shota Yamanaka,Utility of Crowdsourced User Experiments for Measuring the Central Tendency of User Performance: A Case of Error-Rate Model Evaluation in a Pointing Task.
68,2022,3,21,35397250,Schizophr Res,Doron Amsalem,Reducing public stigma toward individuals with psychosis across race and gender: A randomized controlled trial of young adults.
69,NA,NA,NA,35380698,Nicotine Tob Res,Keith Feldman,"Vaping, perceptions of vaping, and plans to quit among e-cigarette users in the United States and the United Kingdom."
70,2021,7,15,35372974,Kidney360,Ernesto P Molmenti,A Randomized Intervention to Assess the Effectiveness of an Educational Video on Organ Donation Intent.
71,2022,1,25,35372829,Front Artif Intell,Chris Welty,Addressing Label Sparsity With Class-Level Common Sense for Google Maps.
72,2022,1,14,35370345,World Dev,Gloria Solano-Hermosilla,Increasing engagement in price crowdsourcing initiatives: Using nudges in Nigeria.
73,2022,2,18,35365661,Sci Data,Juan Carlos Laso Bayas,Drivers of tropical forest loss between 2008 and 2019.
74,2022,3,24,35364231,J Clin Epidemiol,Chloe Lee,Crowdsourcing trainees in a living systematic review provided valuable experiential learning opportunities: a mixed-methods study.
75,2022,3,12,35357317,JMIR Form Res,Harita S Shah,A Crowdsourcing Open Contest to Design a Latino-Specific COVID-19 Campaign: Mixed Methods Analysis.
76,2022,2,21,35348468,JMIR Hum Factors,Hiroki Tanaka,The Acceptability of Virtual Characters as Social Skills Trainers: Usability Study.
77,2022,3,4,35346350,BMC Psychol,Olivia N Grella,Personality as a mediator of autistic traits and internalizing symptoms in two community samples.
78,NA,NA,NA,35342643,Water (Basel),Kristin L Jaeger,Beyond Streamflow: Call for a National Data Repository of Streamflow Presence for Streams and Rivers in the United States.
79,2022,3,9,35342329,Multimed Tools Appl,Amirhossein Peyvandi,Privacy-preserving federated learning for scalable and high data quality computational-intelligence-as-a-service in Society 5.0.
80,2022,2,23,35338241,NPJ Digit Med,Rayner K J Tan,Digital approaches to enhancing community engagement in clinical trials.
81,2022,3,18,35336564,Sensors (Basel),Georgios Fragkos,Local Trust in Internet of Things Based on Contract Theory.
82,2022,3,1,35327882,Entropy (Basel),Sujoy Chatterjee,A TOPSIS-Inspired Ranking Method Using Constrained Crowd Opinions for Urban Planning.
83,2022,2,26,35315779,J Med Internet Res,Xiaoyan Hou,Success Factors of Medical Crowdfunding Campaigns: Systematic Review.
84,2020,12,16,35309853,Nordisk Alkohol Nark,Torleif Halkjelsvik,"Smoking, hazardous drinking and individual differences in cost and gain discounting."
85,2022,1,25,35306256,J Surg Res,Eleah D Porter,Surgery Prescription Opioid Misuse and Diversion in US Adults and Associated Risk Factors.
86,NA,NA,NA,35274097,Aesthet Surg J Open Forum,Jason D Kelly,Validation of Ideal Breast Characteristics With Breast Augmentation Patients.
87,2022,2,25,35272053,J Pain,Chung Jung Mun,"Trajectories and Individual Differences in Pain, Emotional Distress, and Prescription Opioid Misuse During the COVID-19 Pandemic: A One-Year Longitudinal Study."
88,NA,NA,NA,35258409,Subst Use Misuse,Jillian M Rung,"Using Crowdsourcing for Alcohol and Nicotine Use Research: Prevalence, Data Quality, and Attrition on Amazon Mechanical Turk."
89,2022,2,9,35257996,Healthc (Amst),Olivia S Jung,Engaging frontline employees using innovation contests: Lessons from Massachusetts General Hospital.
90,2022,1,14,35250142,Bull Volcanol,M I R Balangue-Tarriela,Analysis of the 2020 Taal Volcano tephra fall deposits from crowdsourced information and field data.
91,2022,2,16,35240378,Comput Biol Med,Jongmun Choi,"A scalable artificial intelligence platform that automatically finds copy number variations (CNVs) in journal articles and transforms them into a database: CNV extraction, transformation, and loading AI (CNV-ETLAI)."
92,2022,2,7,35230533,Surg Endosc,Alex Lois,Patient decision-making in symptomatic gallbladder disease.
93,2022,2,9,35214452,Sensors (Basel),Kevin Choi,Enabling Green Crowdsourced Social Delivery Networks in Urban Communities.
94,NA,NA,NA,35201826,Exp Clin Psychopharmacol,Mark J Rzeszutek,Using crowdsourcing to study the differential effects of cross-drug withdrawal for cigarettes and opioids in a behavioral economic demand framework.
95,2021,12,16,35199167,Pediatrics,Michelle M Kelly,Priorities for Safer In-Person School for Children With Medical Complexity During COVID-19.
96,NA,NA,NA,35196270,Plast Reconstr Surg,Deepa Bhat,"How Do You Like Me Now? The Influence of ""Likes"" and Followers on Social Media in Plastic Surgery."
97,NA,NA,NA,35196060,Am J Public Health,Jeremy Snyder,Implications of Inequities in Health-Related Crowdfunding for the Business of Crowdfunding.
98,NA,NA,NA,35195670,J Vis,Masataka Sawayama,Visual discrimination of optical material properties: A large-scale study.
99,2021,11,28,35194540,Arab J Sci Eng,Hanen Himdi,Arabic Fake News Detection Based on Textual Analysis.
100,NA,NA,NA,35192395,AIDS Educ Prev,Evan L Eschliman,Crowdsourced PrEP Promotion Messages for an HIV High-Burden Area: A Framework-Based Content Analysis.
101,2022,1,22,35188289,Pediatr Dermatol,Nathaniel Goldman,Crowdsourcing as a means of fundraising for juvenile dermatomyositis.
102,2022,1,19,35161690,Sensors (Basel),Jaroslaw Domaszewicz,Intra-Company Crowdsensing: Datafication with Human-in-the-Loop.
103,2022,1,6,35155081,Complex Intell Systems,Lei Cao,Memory-based variable neighborhood search for green vehicle routing problem with passing-by drivers: a comprehensive perspective.
104,2022,1,28,35148341,PLoS One,Orel Babayoff,The role of semantics in the success of crowdfunding projects.
105,NA,NA,NA,35147463,AIDS Patient Care STDS,Juliet Iwelunmor,Enhancing HIV Self-Testing Among Nigerian Youth: Feasibility and Preliminary Efficacy of the 4 Youth by Youth Study Using Crowdsourced Youth-Led Strategies.
106,2021,12,20,35141519,Front Big Data,Alberto Testoni,"Artificial Intelligence Models Do Not Ground Negation, Humans Do. GuessWhat?! Dialogues as a Case Study."
107,2021,10,28,35138765,J Mother Child,Mikołaj Kamiński,Crowdfunding campaigns for paediatric patients: A cross-sectional analysis of success determinants.
108,2022,1,28,35134648,Phys Med,M K H Chan,Multi-center planning study of radiosurgery for intracranial metastases through Automation (MC-PRIMA) by crowdsourcing prior web-based plan challenge study.
109,2022,1,25,35132668,Int J Eat Disord,Michael V Bronstein,Biased and inflexible interpretations of ambiguous social situations: Associations with eating disorder symptoms and socioemotional functioning.
110,NA,NA,NA,35130007,Exp Clin Psychopharmacol,Andrew Jones,Careless responding in crowdsourced alcohol research: A systematic review and meta-analysis of practices and prevalence.
111,NA,NA,NA,35121679,J Cogn Psychother,Julia Y Gorday,The Interactive Effect of Anxiety Sensitivity and Metacognitive Beliefs on Anxiety.
112,NA,NA,NA,35120369,Comput Inform Nurs,Mary Rose Gaughan,Nurses' Experience and Perception of Technology Use in Practice: A Qualitative Study Using an Extended Technology Acceptance Model.
113,2022,1,18,35120170,PLoS One,Ross Niswanger,Quantity bias in comparison-shopping of multi-item baskets.
114,2022,1,4,35118609,J Racial Ethn Health Disparities,Deanna Kerrigan,"Context and Considerations for the Development of Community-Informed Health Communication Messaging to Support Equitable Uptake of COVID-19 Vaccines Among Communities of Color in Washington, DC."
115,NA,NA,NA,35118505,South Med J,Elaine Chan,"Patient Experiences at California Crisis Pregnancy Centers: A Mixed-Methods Analysis of Online Crowd-Sourced Reviews, 2010-2019."
116,NA,NA,NA,35113726,Am J Public Health,Nora Kenworthy,"Medical Crowdfunding and Disparities in Health Care Access in the United States, 2016‒2020."
117,2022,1,19,35081934,BMC Public Health,Carly Doran,Qualitatively exploring the intersection of health and housing needs in Canadian crowdfunding campaigns.
118,2022,1,9,35080680,Int Urol Nephrol,Elijah P Ward,Using social media to crowdsource collection of urine samples during a national pandemic.
119,2021,12,20,35075164,Sci Rep,Emory Richardson,The potential for effective reasoning guides children's preference for small group discussion over crowdsourcing.
120,NA,NA,NA,35072071,Aesthet Surg J Open Forum,Jason D Kelly,Public Perception of Ideal Breast Shape.
121,2021,12,10,35066880,J Child Psychol Psychiatry,Andrés Martin,Destigmatizing perceptions about Black adolescent depression: randomized controlled trial of brief social contact-based video interventions.
122,2021,12,26,35065679,Syst Rev,Ian Shemilt,Machine learning reduced workload for the Cochrane COVID-19 Study Register: development and evaluation of the Cochrane COVID-19 Study Classifier.
123,2021,11,17,35059426,Front Nutr,Igor Pravst,Branded Foods Databases as a Tool to Support Nutrition Research and Monitoring of the Food Supply: Insights From the Slovenian Composition and Labeling Information System.
124,2021,12,8,35058477,Sci Data,Linda See,A crowdsourced global data set for validating built-up surface layers.
125,2021,12,23,35042866,Sci Rep,Timo Mitze,Early-stage spatial disease surveillance of novel SARS-CoV-2 variants of concern in Germany with crowdsourced data.
126,2021,11,15,35040794,J Med Internet Res,Zahra Shakeri Hossein Abad,Crowdsourcing for Machine Learning in Public Health Surveillance: Lessons Learned From Amazon Mechanical Turk.
127,NA,NA,NA,35040772,J Stud Alcohol Drugs,Jon Agley,Considerations for Conducting Alcohol Research With the USAUDIT on Mechanical Turk (mTurk).
128,NA,NA,NA,35025585,Exp Clin Psychopharmacol,Kasey Stanton,A multisample demonstration of using the prolific platform for repeated assessment and psychometric substance use research.
129,NA,NA,NA,35025584,Exp Clin Psychopharmacol,Charlotte R Pennington,Beyond online participant crowdsourcing: The benefits and opportunities of big team addiction science.
130,2021,12,31,35014056,Int J Eat Disord,Matthias Vogel,Eating disorder related research using Amazon Mechanical Turk (MTurk): Friend or foe?: Commentary on Burnette et al. (2021).
131,2021,10,4,35000831,J Nutr Educ Behav,Margaret Raber,Home Cooking Quality Assessment Tool Validation Using Community Science and Crowdsourcing Approaches.
132,2021,12,21,34996005,Addict Behav,Philip W S Newall,A speed-of-play limit reduces gambling expenditure in an online roulette game: Results of an online experiment.
133,NA,NA,NA,34994587,JCO Precis Oncol,Benjamin G Vincent,Pursuing Better Biomarkers for Immunotherapy Response in Cancer Through a Crowdsourced Data Challenge.
134,2021,11,29,34987892,Cureus,Tarek Benzouak,COVID-19-Related Concerns and Symptoms of Anxiety: Does Concern Play a Role in Predicting Severity and Risk?
135,2021,12,15,34984704,Int J Eat Disord,Ella K Moeck,"Food for thought: Commentary on Burnette et al. (2021) ""Concerns and recommendations for using Amazon MTurk for eating disorder research""."
136,2021,12,9,34962931,PLoS Comput Biol,Xiamin Leng,Dissociable influences of reward and punishment on adaptive cognitive control.
137,2021,12,8,34960305,Sensors (Basel),Małgorzata Dudzińska,Detecting the Severity of Socio-Spatial Conflicts Involving Wild Boars in the City Using Social Media Data.
138,2021,12,14,34954009,Can J Cardiol,Katherine S Allan,Responding to Cardiac Arrest in the Community in the Digital Age.
139,2021,9,8,34932012,JMIR Public Health Surveill,Joshua Black,Web-Based Discussion and Illicit Street Sales of Tapentadol and Oxycodone in Australia: Epidemiological Surveillance Study.
140,2021,12,8,34931338,Int J Eat Disord,Ilka Helene Gleibs,Ethical concerns arising from recruiting workers from Amazon's Mechanical Turk as research participants: Commentary on Burnette et al. (2021).
141,2021,11,5,34925133,Front Psychol,Katharina D Schlicher,"Flexible, Self-Determined… and Unhealthy? An Empirical Study on Somatic Health Among Crowdworkers."
142,2021,11,3,34924988,Front Neuroinform,Gurgen Soghoyan,A Toolbox and Crowdsourcing Platform for Automatic Labeling of Independent Components in Electroencephalography.
143,2021,11,17,34921466,J Eur Acad Dermatol Venereol,A Mick,Can crowdsourced data help to optimize atopic dermatitis treatment? Comparing web search data and environmental data in Germany.
144,2021,11,17,34915891,Int J Equity Health,Josephine Etowa,Difficulties accessing health care services during the COVID-19 pandemic in Canada: examining the intersectionality between immigrant status and visible minority status.
145,NA,NA,NA,34904539,Glob Health Action,Ucheoma Nwaozuru,Tailoring youth-friendly health services in Nigeria: a mixed-methods analysis of a designathon approach.
146,NA,NA,NA,34897274,J Vis Exp,Riley Kuttler,Fabrication and Testing of Miniature Automatic Photophoretic Trapping Rigs.
147,NA,NA,NA,34891956,Annu Int Conf IEEE Eng Med Biol Soc,Lin Lin,Combining collective and artificial intelligence for global health diseases diagnosis using crowdsourced annotated medical images.
148,NA,NA,NA,34890213,J Speech Lang Hear Res,Katharina Lehner,Indicators of Communication Limitation in Dysarthria and Their Relation to Auditory-Perceptual Speech Symptoms: Construct Validity of the KommPaS Web App.
149,2021,8,12,34889750,J Med Internet Res,Alla Keselman,Factors Influencing Willingness to Share Health Misinformation Videos on the Internet: Web-Based Survey.
150,NA,NA,NA,34889667,Phytopathology,Seogchan Kang,"Genomics and Informatics, Conjoined Tools Vital for Understanding and Protecting Plant Health."
151,2021,11,1,34887807,Front Psychol,Xiao Han,Role of Reputation in Sustainable Performance of Online Crowdsourcing Vendors: An Explanation From Transaction Cost Theory.
152,2021,11,26,34886398,Int J Environ Res Public Health,Yuin Jeong,Impacts of Visualizations on Decoy Effects.
153,NA,NA,NA,34883031,Int J Audiol,Erin M Picou,A Comparison between a remote testing and a laboratory test setting for evaluating emotional responses to non-speech sounds.
154,2021,11,15,34872033,Conscious Cogn,C J Dance,The prevalence of aphantasia (imagery weakness) in the general population.
155,2021,12,1,34871750,Behav Processes,Carolyn M Ritchey,Evaluating effects of context changes on resurgence in humans.
156,NA,NA,NA,34871295,PLoS Biol,Yuqi Wang,A crowdsourcing open platform for literature curation in UniProt.
157,2021,10,12,34869143,Front Public Health,Claudia Schroeer,Digital Formats for Community Participation in Health Promotion and Prevention Activities: A Scoping Review.
158,2021,10,22,34867535,Front Psychiatry,Tjhin Wiguna,"The Effect of Cyberbullying, Abuse, and Screen Time on Non-suicidal Self-Injury Among Adolescents During the Pandemic: A Perspective From the Mediating Role of Stress."
159,2021,8,1,34860666,JMIR Form Res,Katharine Harrington,The Use of Food Images and Crowdsourcing to Capture Real-time Eating Behaviors: Acceptability and Usability Study.
160,NA,NA,NA,34857061,Int Psychogeriatr,Michael L Thomas,Abbreviated San Diego Wisdom Scale (SD-WISE-7) and Jeste-Thomas Wisdom Index (JTWI).
161,2021,11,10,34848748,Sci Rep,Sanja Brdar,Predicting sensitivity of recently harvested tomatoes and tomato sepals to future fungal infections.
162,2021,10,28,34840419,Comput Speech Lang,Neeraj Kumar Sharma,Towards sound based testing of COVID-19-Summary of the first Diagnostics of COVID-19 using Acoustics (DiCOVA) Challenge.
163,2021,11,16,34836387,Nutrients,Xiang Chen,An Exploratory Approach to Deriving Nutrition Information of Restaurant Food from Crowdsourced Food Images: Case of Hartford.
164,2021,11,18,34833800,Sensors (Basel),Sachit Mahajan,Vayu: An Open-Source Toolbox for Visualization and Analysis of Crowd-Sourced Sensor Data.
165,2021,11,9,34831571,Int J Environ Res Public Health,Elise M Stevens,Integrating Self-Report and Psychophysiological Measures in Waterpipe Tobacco Message Testing: A Novel Application of Multi-Attribute Decision Modeling.
166,2021,10,14,34828089,Entropy (Basel),Rafał Olszowski,Organiational Structure and Created Values. Review of Methods of Studying Collective Intelligence in Policymaking.
167,2021,10,15,34818338,PLoS One,Ryan M Huang,"Batch-produced, GIS-informed range maps for birds based on provenanced, crowd-sourced data inform conservation assessments."
168,NA,NA,NA,34795092,Stud Health Technol Inform,Kirill Borziak,Intelligent Integrative Platform for Sharing Heterogenuous Stem Cell Research Data.
169,NA,NA,NA,34793432,J Pak Med Assoc,Adnan Ahmad Khan,Using crowdsourcing to estimate populations in communities: Providing a key measurement for coverage assessment of community programmes.
170,NA,NA,NA,34787045,Soc Stud Sci,Jérôme Baudry,Turning crowds into communities: The collectives of online citizen science.
171,2021,9,24,34784899,BMC Fam Pract,Briana S Last,A pilot study of participatory and rapid implementation approaches to increase depression screening in primary care.
172,2021,10,28,34784378,PLoS One,Ali Bahrami Rad,Atrial fibrillation detection in outpatient electrocardiogram monitoring: An algorithmic crowdsourcing approach.
173,2021,7,26,34778817,SN Bus Econ,John Liechty,"'If I had a hedge fund, I would cure diabetes': endogenous mechanisms for creating public goods."
174,2021,11,5,34774964,Resuscitation,Tanner Smida,PulsePoint dispatch associated patient characteristics and prehospital outcomes in a mid-sized metropolitan area.
175,2021,10,8,34770276,Sensors (Basel),Md Rabiul Ali Sarker,An Efficient Surface Map Creation and Tracking Using Smartphone Sensors and Crowdsourcing.
176,NA,NA,NA,34763588,Clin Linguist Phon,Katharina Lehner,"Clinical measures of communication limitations in dysarthria assessed through crowdsourcing: specificity, sensitivity, and retest-reliability."
177,2021,10,21,34755049,JAMIA Open,Alex C Cheng,Follow-up Interactive Long-Term Expert Ranking (FILTER): a crowdsourcing platform to adjudicate risk for survivorship care.
178,NA,NA,NA,34748207,Cochrane Database Syst Rev,Melanie Hafdi,Multi-domain interventions for the prevention of dementia and cognitive decline.
179,2020,10,24,34744213,J Bus Res,Khaled Saleh Al-Omoush,The role of sense of community in harnessing the wisdom of crowds and creating collaborative knowledge during the COVID-19 pandemic.
180,NA,NA,NA,34740928,BMJ Open,Larry Han,Joint international consensus statement on crowdsourcing challenge contests in health and medicine: results of a modified Delphi process.
181,2021,10,12,34737325,Sci Rep,Dandan Tao,Crowdsourcing and machine learning approaches for extracting entities indicating potential foodborne outbreaks from social media.
182,2021,10,20,34729642,Psychopharmacology (Berl),Eldad Yechiam,The effect of methylphenidate and mixed amphetamine salts on cognitive reflection: a field study.
183,2021,9,9,34725485,Nat Methods,Arne Peirsman,MISpheroID: a knowledgebase and transparency tool for minimum information in spheroid identity.
184,NA,NA,NA,34724030,JAMA,Joseph H Wu,The Self-directed Medical Student Curriculum.
185,NA,NA,NA,34723377,J Emerg Manag,Musabber Ali Chisty,Social media in disaster response: COVID-19 and Bangladesh perspectives.
186,NA,NA,NA,34723353,J Emerg Manag,Holly Cuthbertson,Filling the gap: Grassroots mask making in California during the Coronavirus pandemic.
187,NA,NA,NA,34720355,GeoJournal,Jason C Young,Volunteer geographic information in the Global South: barriers to local implementation of mapping projects across Africa.
188,NA,NA,NA,34717500,J Acoust Soc Am,Sandeep Reddy Kothinti,Auditory salience using natural scenes: An online study.
