filename,Epidemiology,Crowdsourcing,Evaluate,Data mining,Personal,Quality Control,numWord
crowdseeding in eastern congo.pdf.txt,2,1,0,0,2,3,15345
crowdsourced analysis of clinical trial.pdf.txt,4,1,1,0,2,1,7996
crowdsourced assessment of technical skills a novel method.pdf.txt,2,3,2,0,3,4,4336
crowdsourced bidirectional disaster reporting.pdf.txt,4,1,0,0,1,2,4221
crowdsourced health research studies.txt,4,4,2,0,6,1,6825
crowdsourced peer-versus expert.pdf.txt,2,2,1,0,2,0,7908
crowdsourcing 101 a few tips.pdf.txt,2,2,0,0,1,0,3055
crowdsourcing a new paradigm for interactome driven.pdf.txt,3,1,1,1,0,1,8513
crowdsourcing a normative natural.txt,3,3,2,2,5,2,6573
crowdsourcing applications for public health.pdf.txt,3,4,2,1,1,0,6520
crowdsourcing as a novel technique.txt,4,3,3,0,1,2,4141
crowdsourcing as a screening tool.pdf.txt,4,1,3,0,1,3,2948
crowdsourcing as an innovative communication.txt,4,1,2,0,3,1,4618
crowdsourcing awarness exploration of the ovarian.pdf.txt,5,2,1,0,4,2,7605
crowdsourcing black market prices.txt,3,1,1,2,2,2,3873
crowdsourcing citizen sensing and sensor.pdf.txt,4,5,3,2,4,2,16790
crowdsourcing data collection of the retail tobacco.txt,2,3,1,0,1,2,2771
crowdsourcing for bioinformatics.txt,5,6,3,1,3,2,7635
crowdsourcing for clinical research an evaluation.pdf.txt,5,4,2,0,4,2,5942
crowdsourcing for disaster preparedness.pdf.txt,3,3,1,0,3,2,20460
crowdsourcing for natural disaster response an evaluation.pdf.txt,5,4,3,3,3,2,31315
crowdsourcing for reference correspondence.pdf.txt,4,3,3,0,1,1,3445
crowdsourcing genomic analyses.pdf.txt,2,2,1,0,0,0,1877
crowdsourcing harnessing the masses to advance health and medicine.pdf.txt,5,8,4,1,3,3,7745
crowdsourcing image annotation for nucleus.pdf.txt,4,2,2,1,0,1,4863
crowdsourcing knowledge discovery.txt,2,1,0,1,0,0,2774
Crowdsourcing Malaria Parasite Quantification.txt,4,2,4,1,2,3,4201
crowdsourcing medical expertise in near real time.txt,3,2,0,1,3,2,4198
crowdsourcing medical research.pdf.txt,5,2,0,0,2,0,1889
crowdsourcing natural products discovery.pdf.txt,2,1,0,1,1,0,4104
crowdsourcing novel childhood predictors.pdf.txt,2,3,1,0,4,3,10634
crowdsourcing participatory evaluation.txt,2,2,2,0,2,2,3709
crowdsourcing public health experiments.txt,4,1,0,1,5,1,7824
crowdsourcing solutions to global problems.pdf.txt,3,4,2,0,3,0,12017
crowdsourcing taste research.pdf.txt,2,2,1,0,1,1,5170
crowdsourcing the verification of relationships in biomedical ontologies.pdf.txt,3,3,2,0,2,2,5048
cryptic species of hairwork.pdf.txt,2,2,0,0,0,0,6731
data privacy and ethical uses of volunteered.pdf.txt,4,1,1,1,0,2,4174
development and evaluation of a crowdsourcing.pdf.txt,4,1,0,2,0,4,5053
development of a clinician reputation metric.pdf.txt,4,1,1,1,1,5,5301
discovering health topics in social media.pdf.txt,5,2,1,5,3,1,8311
disentangling public participation.pdf.txt,4,4,1,0,3,1,10752
distributed human intelligence for colonic.pdf.txt,3,1,1,0,2,3,7784
distributed medical image analysis.pdf.txt,4,2,3,0,1,2,6695
dizeez an online game for human.pdf.txt,2,2,2,0,2,1,3524
enhancement of copd biological.pdf.txt,3,2,0,2,2,1,12783
evaluation of a novel conjunctive.txt,3,2,2,1,3,2,6077
evolution of crowdsourcing potential data protection.pdf.txt,4,2,2,1,0,0,6784
extracting physician group intelligence.pdf.txt,4,1,0,1,1,0,5887
factors related to sustained.txt,1,2,2,0,2,1,6255
foodswitch a mobile phone app.txt,2,1,0,0,1,0,4433
formative evaluation of the accuracy.pdf.txt,5,2,3,2,3,3,7070
from citizen science to do it yourself science.pdf.txt,6,4,2,1,3,4,29519
from sensor to observation web.pdf.txt,1,4,1,2,3,1,13229
genetic gatekeepers regulating direct to.pdf.txt,4,5,2,1,4,4,25353
geo awareness geoenablement geotechnologies.pdf.txt,2,2,1,1,2,0,5364
geographic information science as a miltidisciplinary.pdf.txt,4,3,1,2,1,0,13470
global mapping of infectious disease.pdf.txt,6,3,0,1,2,3,9841
harnessing the power of crowds crowdsourcing.pdf.txt,4,1,0,0,6,1,7682
health 205 the realization.pdf.txt,7,4,1,1,2,1,12353
health care transformation.txt,3,1,1,2,2,2,5203
hybrid curation of gene mutation relations.pdf.txt,3,2,3,3,1,3,8753
i like it when my partner holds my hand.pdf.txt,2,2,0,0,4,2,16232
identifying medical terms in patient authored text.txt,5,2,3,4,2,5,5840
improving breast cancer survival analysis.pdf.txt,4,2,2,2,1,2,13474
increasing patient engagement in rehabilitation exercises.pdf.txt,3,2,1,0,2,1,8992
industrial methodology for process verification in research.txt,3,2,1,3,1,3,7964
inferring gene expression from ribosomal.pdf.txt,2,1,1,1,1,2,7504
integrated spatial analysis of volunteered geographic.pdf.txt,3,3,1,1,3,1,23704
international research roadmap on ict.pdf.txt,5,2,2,3,3,2,37859
internet based crowdsourcing and research.pdf.txt,3,1,1,0,2,0,4025
interpoll crowdsourced internet polls.pdf.txt,3,5,1,1,3,4,11566
introduction to socialradio case.pdf.txt,4,2,1,1,2,0,4529
investigating the congruence.txt,2,2,1,3,2,0,4544
is there a doctor in the crowd.pdf.txt,7,4,4,2,3,4,10866
learning by aggregating.txt,3,2,3,1,0,3,5068
learning fron outdoor webcams surveillance.pdf.txt,2,3,2,1,3,3,7752
lessons learned about public health.txt,6,3,1,2,2,1,6027
load balancing at emergency departments.pdf.txt,2,1,1,1,1,1,9009
many can work better than the best.pdf.txt,4,2,1,1,3,1,4703
measuring information acquisition.pdf.txt,3,2,1,1,2,4,6460
method paper distance and travel.pdf.txt,2,1,0,0,0,2,4323
methodological considerations in analyzing.pdf.txt,4,2,0,3,2,0,4606
mhealth approaches to child obesity.pdf.txt,4,1,0,0,2,3,8564
mHealth- A Comprehensive and Contemporary Look at Emerging Techno.pdf.txt,6,1,1,1,2,2,13043
microtask crowdsourcing for disease mention.pdf.txt,4,4,3,3,2,3,4957
mobile medical disaster relief technology.pdf.txt,5,3,1,2,4,2,33443
mobile4d crowdsourced disaster.pdf.txt,5,1,2,0,2,1,3127
nettab 2013 semantic social and mobile.pdf.txt,2,2,0,1,1,0,2904
new media methods for syndromic.pdf.txt,5,2,1,1,4,1,9276
new technology in dietary assessment a review of digital.pdf.txt,2,2,0,1,3,3,4949
Norms of valence arousal and dominance for 13915 English lemmas.pdf.txt,3,2,1,1,2,2,9093
on crowd verification of biological networks.pdf.txt,3,2,3,2,2,3,9117
on the internet of things.pdf.txt,2,2,0,0,1,0,4553
online reporting for malaria.pdf.txt,5,2,0,1,4,2,4196
Online Social Networks Social Capital and Health-related Behavio.pdf.txt,3,2,2,1,2,1,14505
open source drug discovery in practice.txt,3,1,1,1,4,1,10953
open source genomic analysis of shiga toxin.pdf.txt,4,2,0,0,0,1,4461
openSNP a crowdsourced web.pdf.txt,4,4,2,1,1,3,6589
outcomes research in psoriasis and psoriatic.pdf.txt,4,1,0,2,4,1,3176
partnering against cancer today.pdf.txt,5,3,1,0,2,0,6663
path scan a reporting tool.pdf.txt,3,4,2,0,1,1,5682
personalising pollution exposure estimates.pdf.txt,3,1,0,0,2,2,4559
personalized health experiments to optimize well being.pdf.txt,5,4,3,2,6,1,8285
placing landmarks in the knowledge space crowdsourcing.txt,2,2,2,1,0,1,2771
point of decision prompts for increasing.pdf.txt,2,2,0,0,1,0,2577
power of crowdsourcing novel methods of data collection.pdf.txt,4,1,0,1,5,1,7651
provider impressions of the use of a mobile.pdf.txt,4,1,2,0,3,0,5060
putting humans in the loop social computing.pdf.txt,2,5,2,2,3,2,9709
quanitative objective assessment.pdf.txt,3,5,3,1,4,5,26400
quantifying the imact and extent.pdf.txt,3,3,2,4,1,3,14693
ranking and combining multiple predictors.pdf.txt,3,1,1,3,1,3,6395
rapid grading of fundus photographs.txt,4,3,3,0,2,2,4376
rapid information and communication technology.pdf.txt,4,4,2,2,3,3,55070
research prioritization through prediction.pdf.txt,3,1,3,1,0,1,7078
situation awareness in crowdsourcing for disease.pdf.txt,3,1,1,1,4,2,3464
skin self examinations and visual.txt,4,1,2,0,2,1,6252
social media a comprehensive knowledge synthesis.pdf.txt,6,5,2,1,4,4,26326
social media a review.txt,5,4,1,1,3,2,11009
social media activism and egyptians use.pdf.txt,3,1,0,0,2,2,5234
social networking and dental care.pdf.txt,3,4,0,1,2,0,5065
sourcing the crowd for health services improvement.pdf.txt,3,1,1,0,1,2,8223
strategies for improved interpretation of computer.pdf.txt,4,2,2,1,2,3,13358
systematic analysis of challenge driven.txt,2,1,2,1,1,2,10931
task assignment with controlled.pdf.txt,1,1,1,0,0,0,6292
technology conflict early warning.pdf.txt,4,1,1,1,1,2,7266
the cure design and evaluation.txt,3,2,3,2,4,1,6712
the effect of word familiarity on actual.pdf.txt,2,3,1,1,0,0,3480
the emerging discipline.txt,5,4,1,1,0,0,4755
the human hookworm assemblage.pdf.txt,6,3,1,1,1,2,29974
the landscape of big data for development.pdf.txt,6,1,2,3,2,1,12515
the public health exposome.pdf.txt,3,2,1,2,3,2,13140
the use of crowdsourcing for dietary self monitoring.txt,2,2,1,0,0,3,5445
toward better benchmarking challenge based.txt,2,2,2,0,0,3,6597
tracking epidemics with natural language.txt,6,1,2,2,1,2,5086
tracking replicability as a method.pdf.txt,2,3,1,2,4,1,10658
transforming participatory science.txt,3,2,0,1,1,0,11469
twitter chatter about marijuana.txt,3,2,1,0,2,1,6237
twituational awareness gaining situational.pdf.txt,5,3,0,2,4,0,29549
use of health information technology.pdf.txt,3,2,1,0,3,0,7065
using crowdsourcing technology for testing.txt,2,5,3,0,3,2,4484
using crowdsourcing to compare temporal.pdf.txt,2,2,0,0,1,1,7065
using online crowdsourcing.pdf.txt,3,3,0,0,2,1,5361
using the wisdom of the crowds to find critical.txt,4,2,1,1,2,0,5105
voting with their mice personal genome.pdf.txt,3,3,0,0,3,0,7383
web 20 based crowdsourcing.txt,2,2,4,2,1,3,7093
why we need crowdsourced data.pdf.txt,6,2,1,1,2,1,2669
wiki pi a web server of annotated.pdf.txt,2,1,1,2,0,1,5696
