filename,validated,survey,worker,natural,patientslikeme,quality,text,recruitment,health,user,patient,trained,user,symptom,crowd-sourcing,participant,validate,data,performance,microtask,crowd-sourced,non-expert,player,crowd,knowledge,diagnosis,players,self-reported,patient-report,citizens,individuals,patient-reported,crowdsourcing,screen,self,experience,extracted,individual,dictionary,23andme,disease,respondents,posts,posts,virus,people,self-report,extraction,extraction,posted,online,posted,online,crowd-source,diseases,medical,users,users,participants,annotate,posting,posting,citizen,crowdsource,turk,image,reliability,query,diagnose,validation,combine,flu,annotated,experienced,extracts,amazon,crowdsourced,workers,gold,recruit,train,extracting,post,post,turkers,extract,extract,numWord
agent based modeling of crowdinforming.pdf.txt,1,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4731
alignment free design of highly discriminatory.pdf.txt,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6828
an evidence based toolset to capture measure.pdf.txt,3,15,0,0,0,0,0,0,264,1,0,0,0,1,6,0,1,1,18,0,27,0,0,0,0,0,0,1,0,0,4,0,0,1,0,29,0,0,0,0,4,0,0,0,0,1,16,7,7,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,5,4,1,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,4,0,53995
assessment of unconcious decision.txt,0,3,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,1,0,0,0,0,0,0,0,5968
automated indexing of internet stories.txt,1,0,0,2,1,0,0,1,46,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,3,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5019
big data and disease prevention.pdf.txt,1,1,0,0,1,0,0,0,115,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,2,0,0,0,2,1,0,2,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,5994
big data for advancing dementia research.pdf.txt,0,3,0,0,1,7,0,0,84,0,0,0,0,1,0,0,1,3,2,0,0,0,0,0,0,12,0,0,0,0,0,0,8,0,0,6,0,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,28,98,0,1,0,1,0,0,0,3,0,0,0,1,0,0,0,2,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,45612
big data in healthcare.pdf.txt,0,0,0,0,3,0,0,0,66,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,7,4,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6181
big data in science and healthcare.pdf.txt,0,0,0,0,4,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,4777
big data opportunities for global.pdf.txt,1,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,45,0,0,0,1,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3505
big data usage patterns in health care domain.pdf.txt,1,3,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,0,0,0,0,11,0,0,0,5,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7024
biographies of the editors and contributors.pdf.txt,4,74,0,6,0,2,1,0,134,0,0,1,5,0,0,0,6,11,8,0,0,5,0,2,1,0,0,0,0,2,2,0,114,17,0,42,0,1,2,0,2,0,0,0,0,1,0,9,9,1,1,0,0,0,2,11,1,5,1,1,0,0,120,2,0,0,11,6,0,10,0,0,3,3,0,0,103,0,0,1,0,0,0,0,0,6,0,164100
cameras for public health surveillance.txt,0,4,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,13,0,0,0,0,0,1,0,0,1,25,0,1,0,0,0,0,0,0,2,0,5786
can masses of non experts train highly accurate image classification.pdf.txt,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2980
can you find an aed.pdf.txt,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2404
cancer systems biology.pdf.txt,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10231
case studies on specific aplications of ict.pdf.txt,2,3,0,0,0,0,1,2,28,0,0,0,0,0,2,0,1,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,19,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,31,3,0,2,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0,61460
cellular phone based image.pdf.txt,0,1,0,0,0,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7128
characterizing the followers and tweets.txt,0,1,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,5267
citizen science in the age of neogeography.pdf.txt,1,1,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,12,0,0,0,0,18,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,65,0,0,0,3,2,0,2,0,0,0,1,0,0,2,0,0,4,0,0,1,0,0,3,0,15175
citizen sensors for shm use of.pdf.txt,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5533
clinical decision support alert.txt,1,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,5263
cloud digital patient communities.pdf.txt,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1752
combinatorial pair testing distinguishing.pdf.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6267
comparative bacterial genomes.pdf.txt,1,3,0,0,0,2,0,0,24,0,0,0,0,0,16,0,0,0,11,0,6,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,22,0,0,0,9,0,0,2,2,0,0,0,0,0,8,27,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,62282
computational opportunities for remote.pdf.txt,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5229
constructing a classification of hypersensitivity allergic.pdf.txt,0,5,0,0,0,0,0,0,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,56,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5383
crowdoutaids crowdsourcing youth perspectives.pdf.txt,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6465
crowdseeding conflict data.txt,0,18,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,15668
crowdseeding in eastern congo.pdf.txt,0,17,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,15345
crowdsourced analysis of clinical trial.pdf.txt,1,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,27,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7996
crowdsourced assessment of technical skills a novel method.pdf.txt,3,11,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,18,0,10,0,0,0,0,0,0,0,0,0,0,0,7,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,9,0,3,0,1,4,1,0,0,0,0,0,0,0,4336
crowdsourced bidirectional disaster reporting.pdf.txt,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4221
crowdsourced health research studies.txt,2,4,0,0,10,0,0,0,155,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,5,0,0,0,1,21,0,0,5,0,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,1,0,0,18,2,0,0,0,0,1,2,0,0,1,0,0,0,95,0,0,3,0,0,0,0,0,0,0,6825
crowdsourced peer-versus expert.pdf.txt,0,2,0,0,1,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7908
crowdsourcing 101 a few tips.pdf.txt,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3055
crowdsourcing a new paradigm for interactome driven.pdf.txt,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8513
crowdsourcing a normative natural.txt,0,5,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,23,2,0,1,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,4,62,0,1,3,0,0,0,0,0,0,0,6573
crowdsourcing applications for public health.pdf.txt,0,2,0,0,1,0,0,0,48,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,8,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,6520
crowdsourcing as a novel technique.txt,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,5,0,0,0,0,1,0,26,0,0,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,4,0,13,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,4141
crowdsourcing as a screening tool.pdf.txt,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,0,0,0,0,1,0,20,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,3,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2948
crowdsourcing as an innovative communication.txt,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,33,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,4618
crowdsourcing awarness exploration of the ovarian.pdf.txt,1,42,0,0,0,9,0,5,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,15,0,0,2,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,0,0,0,0,0,0,0,0,0,7605
crowdsourcing black market prices.txt,0,5,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,0,3873
crowdsourcing citizen sensing and sensor.pdf.txt,2,1,0,0,1,0,0,0,75,0,0,0,2,0,0,0,3,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,8,0,0,9,0,0,0,0,4,0,1,0,0,2,0,3,3,0,1,0,0,0,7,4,0,0,0,0,0,0,0,1,0,1,1,9,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,16790
crowdsourcing data collection of the retail tobacco.txt,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,2771
crowdsourcing for bioinformatics.txt,0,4,0,1,0,0,0,0,6,0,0,0,0,0,0,0,1,0,3,17,2,1,0,0,0,2,0,1,0,0,0,0,76,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,3,0,0,2,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,7635
crowdsourcing for clinical research an evaluation.pdf.txt,1,3,0,0,7,0,0,10,37,0,0,0,0,1,0,0,0,0,6,0,0,0,0,1,0,1,0,0,0,0,1,2,72,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,13,0,1,2,0,0,0,0,0,0,0,5942
crowdsourcing for disaster preparedness.pdf.txt,0,0,0,0,0,0,0,1,25,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,224,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,2,2,0,0,1,0,0,2,0,0,0,6,0,0,28,0,0,0,0,0,0,0,0,0,0,20460
crowdsourcing for natural disaster response an evaluation.pdf.txt,0,4,0,3,4,0,1,0,191,0,0,0,0,2,0,0,0,0,4,0,1,0,0,5,0,0,0,0,0,0,1,0,48,0,0,4,0,0,0,0,17,0,0,0,0,2,0,0,0,0,0,0,0,0,3,25,0,0,1,0,0,0,0,2,0,0,2,4,0,1,0,9,5,1,0,0,39,0,0,0,0,0,0,0,0,0,0,31315
crowdsourcing for reference correspondence.pdf.txt,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,18,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3445
crowdsourcing genomic analyses.pdf.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1877
crowdsourcing harnessing the masses to advance health and medicine.pdf.txt,1,27,0,0,1,0,0,0,63,0,0,0,0,0,2,0,1,0,2,0,2,0,0,2,0,5,1,0,0,0,0,0,114,2,0,1,0,0,0,1,3,0,0,0,0,1,0,1,1,0,0,0,1,0,1,34,1,0,0,3,0,0,6,0,0,4,2,0,0,3,0,1,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,7745
crowdsourcing image annotation for nucleus.pdf.txt,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33,0,4,5,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,16,0,0,0,0,0,0,0,0,0,0,4863
crowdsourcing knowledge discovery.txt,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2774
Crowdsourcing Malaria Parasite Quantification.txt,1,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,15,0,0,0,1,0,0,11,2,0,0,0,0,0,6,5,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,9,0,0,0,0,2,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,4201
