filename,Epidemiology,Crowdsourcing,Evaluate,Data mining,Personal,Quality Control,numWord
discovering health topics in social media.pdf.txt,1,1,1,1,1,1,8311
disentangling public participation.pdf.txt,1,1,1,0,1,1,10752
distributed human intelligence for colonic.pdf.txt,1,1,1,0,1,1,7784
distributed medical image analysis.pdf.txt,1,1,1,0,1,1,6695
dizeez an online game for human.pdf.txt,1,1,1,0,1,1,3524
enhancement of copd biological.pdf.txt,1,1,0,1,1,1,12783
evaluation of a novel conjunctive.txt,1,1,1,1,1,1,6077
evolution of crowdsourcing potential data protection.pdf.txt,1,1,1,1,0,0,6784
extracting physician group intelligence.pdf.txt,1,1,0,1,1,0,5887
factors related to sustained.txt,1,1,1,0,1,1,6255
foodswitch a mobile phone app.txt,1,1,0,0,1,0,4433
formative evaluation of the accuracy.pdf.txt,1,1,1,1,1,1,7070
from citizen science to do it yourself science.pdf.txt,1,1,1,1,1,1,29519
from sensor to observation web.pdf.txt,1,1,1,1,1,1,13229
genetic gatekeepers regulating direct to.pdf.txt,1,1,1,1,1,1,25353
geo awareness geoenablement geotechnologies.pdf.txt,1,1,1,1,1,0,5364
geographic information science as a miltidisciplinary.pdf.txt,1,1,1,1,1,0,13470
global mapping of infectious disease.pdf.txt,1,1,0,1,1,1,9841
harnessing the power of crowds crowdsourcing.pdf.txt,1,1,0,0,1,1,7682
health 205 the realization.pdf.txt,1,1,1,1,1,1,12353
health care transformation.txt,1,1,1,1,1,1,5203
hybrid curation of gene mutation relations.pdf.txt,1,1,1,1,1,1,8753
i like it when my partner holds my hand.pdf.txt,1,1,0,0,1,1,16232
identifying medical terms in patient authored text.txt,1,1,1,1,1,1,5840
improving breast cancer survival analysis.pdf.txt,1,1,1,1,1,1,13474
increasing patient engagement in rehabilitation exercises.pdf.txt,1,1,1,0,1,1,8992
industrial methodology for process verification in research.txt,1,1,1,1,1,1,7964
inferring gene expression from ribosomal.pdf.txt,1,1,1,1,1,1,7504
integrated spatial analysis of volunteered geographic.pdf.txt,1,1,1,1,1,1,23704
international research roadmap on ict.pdf.txt,1,1,1,1,1,1,37859
internet based crowdsourcing and research.pdf.txt,1,1,1,0,1,0,4025
interpoll crowdsourced internet polls.pdf.txt,1,1,1,1,1,1,11566
introduction to socialradio case.pdf.txt,1,1,1,1,1,0,4529
investigating the congruence.txt,1,1,1,1,1,0,4544
is there a doctor in the crowd.pdf.txt,1,1,1,1,1,1,10866
learning by aggregating.txt,1,1,1,1,0,1,5068
learning fron outdoor webcams surveillance.pdf.txt,1,1,1,1,1,1,7752
lessons learned about public health.txt,1,1,1,1,1,1,6027
load balancing at emergency departments.pdf.txt,1,1,1,1,1,1,9009
many can work better than the best.pdf.txt,1,1,1,1,1,1,4703
measuring information acquisition.pdf.txt,1,1,1,1,1,1,6460
method paper distance and travel.pdf.txt,1,1,0,0,0,1,4323
methodological considerations in analyzing.pdf.txt,1,1,0,1,1,0,4606
mhealth approaches to child obesity.pdf.txt,1,1,0,0,1,1,8564
mHealth- A Comprehensive and Contemporary Look at Emerging Techno.pdf.txt,1,1,1,1,1,1,13043
microtask crowdsourcing for disease mention.pdf.txt,1,1,1,1,1,1,4957
mobile medical disaster relief technology.pdf.txt,1,1,1,1,1,1,33443
mobile4d crowdsourced disaster.pdf.txt,1,1,1,0,1,1,3127
nettab 2013 semantic social and mobile.pdf.txt,1,1,0,1,1,0,2904
new media methods for syndromic.pdf.txt,1,1,1,1,1,1,9276
new technology in dietary assessment a review of digital.pdf.txt,1,1,0,1,1,1,4949
Norms of valence arousal and dominance for 13915 English lemmas.pdf.txt,1,1,1,1,1,1,9093
on crowd verification of biological networks.pdf.txt,1,1,1,1,1,1,9117
on the internet of things.pdf.txt,1,1,0,0,1,0,4553
online reporting for malaria.pdf.txt,1,1,0,1,1,1,4196
Online Social Networks Social Capital and Health-related Behavio.pdf.txt,1,1,1,1,1,1,14505
open source drug discovery in practice.txt,1,1,1,1,1,1,10953
open source genomic analysis of shiga toxin.pdf.txt,1,1,0,0,0,1,4461
openSNP a crowdsourced web.pdf.txt,1,1,1,1,1,1,6589
outcomes research in psoriasis and psoriatic.pdf.txt,1,1,0,1,1,1,3176
partnering against cancer today.pdf.txt,1,1,1,0,1,0,6663
path scan a reporting tool.pdf.txt,1,1,1,0,1,1,5682
personalising pollution exposure estimates.pdf.txt,1,1,0,0,1,1,4559
personalized health experiments to optimize well being.pdf.txt,1,1,1,1,1,1,8285
placing landmarks in the knowledge space crowdsourcing.txt,1,1,1,1,0,1,2771
point of decision prompts for increasing.pdf.txt,1,1,0,0,1,0,2577
power of crowdsourcing novel methods of data collection.pdf.txt,1,1,0,1,1,1,7651
provider impressions of the use of a mobile.pdf.txt,1,1,1,0,1,0,5060
putting humans in the loop social computing.pdf.txt,1,1,1,1,1,1,9709
quanitative objective assessment.pdf.txt,1,1,1,1,1,1,26400
quantifying the imact and extent.pdf.txt,1,1,1,1,1,1,14693
ranking and combining multiple predictors.pdf.txt,1,1,1,1,1,1,6395
rapid grading of fundus photographs.txt,1,1,1,0,1,1,4376
rapid information and communication technology.pdf.txt,1,1,1,1,1,1,55070
research prioritization through prediction.pdf.txt,1,1,1,1,0,1,7078
situation awareness in crowdsourcing for disease.pdf.txt,1,1,1,1,1,1,3464
skin self examinations and visual.txt,1,1,1,0,1,1,6252
social media a comprehensive knowledge synthesis.pdf.txt,1,1,1,1,1,1,26326
social media a review.txt,1,1,1,1,1,1,11009
social media activism and egyptians use.pdf.txt,1,1,0,0,1,1,5234
social networking and dental care.pdf.txt,1,1,0,1,1,0,5065
sourcing the crowd for health services improvement.pdf.txt,1,1,1,0,1,1,8223
strategies for improved interpretation of computer.pdf.txt,1,1,1,1,1,1,13358
systematic analysis of challenge driven.txt,1,1,1,1,1,1,10931
task assignment with controlled.pdf.txt,1,1,1,0,0,0,6292
technology conflict early warning.pdf.txt,1,1,1,1,1,1,7266
the cure design and evaluation.txt,1,1,1,1,1,1,6712
the effect of word familiarity on actual.pdf.txt,1,1,1,1,0,0,3480
the emerging discipline.txt,1,1,1,1,0,0,4755
the human hookworm assemblage.pdf.txt,1,1,1,1,1,1,29974
the landscape of big data for development.pdf.txt,1,1,1,1,1,1,12515
the public health exposome.pdf.txt,1,1,1,1,1,1,13140
the use of crowdsourcing for dietary self monitoring.txt,1,1,1,0,0,1,5445
toward better benchmarking challenge based.txt,1,1,1,0,0,1,6597
tracking epidemics with natural language.txt,1,1,1,1,1,1,5086
tracking replicability as a method.pdf.txt,1,1,1,1,1,1,10658
transforming participatory science.txt,1,1,0,1,1,0,11469
twitter chatter about marijuana.txt,1,1,1,0,1,1,6237
twituational awareness gaining situational.pdf.txt,1,1,0,1,1,0,29549
use of health information technology.pdf.txt,1,1,1,0,1,0,7065
using crowdsourcing technology for testing.txt,1,1,1,0,1,1,4484
using crowdsourcing to compare temporal.pdf.txt,1,1,0,0,1,1,7065
using online crowdsourcing.pdf.txt,1,1,0,0,1,1,5361
using the wisdom of the crowds to find critical.txt,1,1,1,1,1,0,5105
voting with their mice personal genome.pdf.txt,1,1,0,0,1,0,7383
web 20 based crowdsourcing.txt,1,1,1,1,1,1,7093
why we need crowdsourced data.pdf.txt,1,1,1,1,1,1,2669
wiki pi a web server of annotated.pdf.txt,1,1,1,1,0,1,5696
