filename,validated,survey,worker,natural,patientslikeme,quality,text,recruitment,health,user,patient,trained,user,symptom,crowd-sourcing,participant,validate,data,performance,microtask,crowd-sourced,non-expert,player,crowd,knowledge,diagnosis,players,tweeted,self-reported,patient-report,tweets,citizens,individuals,patient-reported,tweet,crowdsourcing,screen,self,experience,extracted,individual,dictionary,23andme,disease,respondents,posts,posts,virus,people,self-report,extraction,extraction,posted,online,online,posted,online,crowd-source,diseases,medical,users,users,participants,annotate,posting,media,posting,citizen,crowdsource,tweeting,turk,image,reliability,query,diagnose,validation,combine,flu,annotated,experienced,extracts,amazon,crowdsourced,workers,gold,recruit,train,extracting,post,post,turkers,extract,extract,numWord
clinical decision support alert.pdf.txt,1,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,5263
collaborative biomedicine.txt,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1878
concordance between site of onset and limb dominance in amyotrophic lateral sclerosis.txt,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2096
crowdseeding conflict data.pdf.txt,0,18,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,15668
crowdsourcing a normative natural.txt,0,5,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,23,2,0,1,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,4,62,0,1,3,0,0,0,0,0,0,0,6573
crowdsourcing as a novel technique.pdf.txt,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,5,0,0,0,0,0,0,1,0,0,26,0,0,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,4,0,0,13,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,4141
crowdsourcing as an innovative communication.pdf.txt,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,4618
crowdsourcing black market prices.txt,0,5,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,0,3873
crowdsourcing data collection of the retail tobacco.pdf.txt,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,2771
crowdsourcing for bioinformatics.pdf.txt,0,4,0,1,0,0,0,0,6,0,0,0,0,0,0,0,1,0,3,17,2,1,0,0,0,2,0,0,1,0,0,0,0,0,0,76,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,7635
Crowdsourcing Malaria Parasite Quantification.pdf.txt,1,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,15,0,0,0,1,0,0,11,2,0,0,0,0,0,0,0,0,6,5,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,2,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,4201
crowdsourcing medical expertise in near real time.pdf.txt,0,4,0,0,0,1,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4198
crowdsourcing public health experiments.pdf.txt,1,1,0,0,0,0,0,1,45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,44,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,7824
designing next generation platforms for evaluating.pdf.txt,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11769
emotions under discussion gender.pdf.txt,1,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15392
Gender identity and substance use among students in two high schools in Monterrey Mexico.txt,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7654
geo awareness geoenablement geotechnologies.pdf.txt,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5364
Healthy travel and the socio-economic structure of car.txt,0,2,0,0,0,0,0,3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6716
identifying medical terms in patient authored text.pdf.txt,0,0,0,0,4,1,0,1,23,0,0,2,0,0,0,0,0,1,12,0,0,9,0,0,0,1,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,12,0,2,0,0,0,0,0,0,2,2,0,5,0,0,0,0,0,60,0,0,0,1,0,0,0,0,0,0,1,0,3,2,0,4,0,1,2,0,0,0,1,0,16,0,0,0,0,0,1,1,0,5840
industrial methodology for process verification in research.pdf.txt,0,0,0,0,0,1,3,0,0,0,0,0,0,0,12,0,0,3,15,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,10,0,0,0,0,0,0,5,5,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,1,0,7964
learning by aggregating experts.pdf.txt,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,8,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5068
lessons learned about public health.pdf.txt,0,14,0,0,0,0,0,0,81,0,0,0,0,0,11,0,1,2,0,0,4,0,0,0,0,2,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,18,0,0,0,1,0,0,1,1,0,1,0,0,0,0,5,22,1,0,0,0,0,1,0,1,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6027
mhealth technologies in developing countries.pdf.txt,0,4,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,37,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5,27,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,19673
Modelling Psychological Responses to the Great East Japan Earthquake and Nuclear Incident.txt,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5248
Mouse Models of Down Syndrome as a Tool to Unravel the Causes of Mental Disabilities.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9770
new media interventions in youth sexual.pdf.txt,3,40,0,0,0,0,0,16,438,0,0,0,3,1,0,0,1,3,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,12,0,1,1,0,29,0,0,0,2,0,0,0,0,0,6,0,0,1,0,4,4,1,2,0,0,0,53,0,0,1,0,0,0,4,1,0,0,0,1,0,5,0,0,1,0,0,3,0,0,0,0,0,0,0,39065
offering hope and making attributions through.pdf.txt,0,8,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,13042
on the internet of things.pdf.txt,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4553
online reporting for malaria surveillance using micro-monetary incentives in urban india 2010-2011.txt,0,14,0,0,0,0,0,0,29,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,5,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,1,0,4,0,0,1,1,0,0,0,0,0,0,0,4196
open source drug discovery in practice.pdf.txt,0,6,0,0,0,2,0,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,10953
path scan a reporting tool.pdf.txt,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5682
placing landmarks in the knowledge space crowdsourcing landmark.pdf.txt,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2771
receptor tyrosine kinases fall.pdf.txt,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18125
research prioritization through prediction.pdf.txt,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7078
Respecting the right to access to medicines Implications.txt,0,0,0,0,0,0,0,1,48,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7156
results from an online survey of patient.txt,0,21,0,0,2,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3290
skin self examinations and visual.pdf.txt,0,4,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,21,0,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6252
social media a review.txt,2,1,0,1,1,0,0,3,94,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,13,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,44,0,1,0,0,0,11,0,0,1,0,0,0,1,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11009
social media as a measurement tool of depression in populations.txt,1,11,0,0,0,0,0,0,33,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,6,0,0,0,0,0,0,0,10,0,0,0,0,0,5,2,2,0,0,0,0,0,0,2,1,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7552
spatial turn in health.pdf.txt,0,0,0,0,0,0,0,0,20,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1520
systematic analysis of challenge driven.pdf.txt,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10931
the cure design and evaluation.pdf.txt,0,6,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,11,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,6712
The importance of being cis evolution.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5969
the use of 2d fingerprint methods.pdf.txt,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6955
toward better benchmarking challenge based.pdf.txt,1,0,0,0,0,1,0,0,3,0,0,0,0,0,4,0,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6597
towards a living earth simulator.pdf.txt,3,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,25,5,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,16,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,15796
tracking epidemics with natural language.pdf.txt,0,0,0,5,0,2,0,0,6,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,9,0,0,0,2,0,0,1,1,0,0,0,0,0,0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,18,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,5086
tracking replicability as a method.pdf.txt,0,8,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,10658
transforming participatory science.pdf.txt,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11469
twitter chatter about marijuana.pdf.txt,0,3,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,6237
use of a suport vector machine.pdf.txt,0,0,0,4,0,0,0,0,14,0,0,0,0,0,0,0,2,2,13,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4148
